n_communities,time_ms
100,0.047
100,0.04
100,0.04
100,0.044
100,0.046
200,0.089
200,0.091
200,0.081
200,0.162
200,0.084
500,0.219
500,0.434
500,0.406
500,0.39
500,0.38
1000,0.631
1000,0.609
1000,0.604
1000,0.588
1000,0.602
1500,0.911
1500,0.921
1500,0.821
1500,0.756
1500,0.724
2000,1.028
2000,1.045
2000,0.891
2000,0.905
2000,0.887
3000,1.37
3000,1.35
3000,1.224
3000,1.246
3000,1.216
4000,1.643
4000,1.559
4000,1.437
4000,1.45
4000,1.415
5000,1.78
5000,1.704
5000,1.664
5000,1.595
5000,1.677
7500,2.352
7500,2.219
7500,2.263
7500,2.128
7500,2.115
10000,2.798
10000,2.742
10000,2.725
10000,2.682
10000,2.589
15000,3.928
15000,3.873
15000,3.707
15000,3.769
15000,4.016
20000,4.837
20000,4.86
20000,5.197
20000,4.903
20000,4.849
