n_boxes,m_rooms,time_ms
100,100,0.003
100,100,0.003
100,100,0.003
100,100,0.003
100,100,0.002
500,500,0.021
500,500,0.02
500,500,0.02
500,500,0.021
500,500,0.019
1000,1000,0.047
1000,1000,0.046
1000,1000,0.045
1000,1000,0.046
1000,1000,0.045
2000,2000,0.099
2000,2000,0.102
2000,2000,0.1
2000,2000,0.097
2000,2000,0.1
3000,3000,0.156
3000,3000,0.156
3000,3000,0.159
3000,3000,0.161
3000,3000,0.158
4000,4000,0.223
4000,4000,0.211
4000,4000,0.216
4000,4000,0.225
4000,4000,0.225
5000,5000,0.281
5000,5000,0.265
5000,5000,0.246
5000,5000,0.244
5000,5000,0.245
7500,7500,0.34
7500,7500,0.349
7500,7500,0.535
7500,7500,0.688
7500,7500,0.683
10000,10000,0.96
10000,10000,1.009
10000,10000,0.461
10000,10000,1.042
10000,10000,0.743
15000,15000,1.385
15000,15000,2.166
15000,15000,1.256
15000,15000,0.97
15000,15000,1.044
20000,20000,1.724
20000,20000,1.475
20000,20000,1.544
20000,20000,1.883
20000,20000,0.992
30000,30000,1.645
30000,30000,1.824
30000,30000,1.883
30000,30000,1.871
30000,30000,1.424
40000,40000,1.958
40000,40000,2.135
40000,40000,1.847
40000,40000,1.848
40000,40000,1.643
50000,50000,2.08
50000,50000,2.064
50000,50000,2.023
50000,50000,2.102
50000,50000,2.004
