n_communities,time_ms
100,0.063
100,0.056
100,0.05
100,0.051
100,0.054
200,0.116
200,0.171
200,0.123
200,0.117
200,0.109
500,0.29
500,0.286
500,0.289
500,0.281
500,0.282
1000,0.582
1000,0.564
1000,0.59
1000,0.549
1000,0.514
1500,0.785
1500,0.671
1500,0.789
1500,1.034
1500,0.95
2000,1.351
2000,1.272
2000,1.068
2000,1.076
2000,1.092
3000,1.586
3000,1.473
3000,1.357
3000,1.343
3000,1.328
4000,1.799
4000,1.619
4000,1.576
4000,1.601
4000,1.507
5000,1.787
5000,1.888
5000,1.817
5000,1.678
5000,1.68
7500,2.47
7500,2.411
7500,2.258
7500,2.248
7500,2.264
10000,2.894
10000,2.86
10000,2.764
10000,2.675
10000,2.675
15000,3.939
15000,3.818
15000,3.73
15000,3.651
15000,3.636
20000,4.904
20000,4.915
20000,4.931
20000,4.863
20000,5.058
